ticket_id,account_id,created_at,priority,category,resolved_hours
T00566,A0158,2024-05-02,P3,how_to,27.1
T00567,A0158,2024-01-05,P3,bug,25.2
T00568,A0159,2024-03-02,P2,billing,57.5
T00569,A0159,2024-01-31,P2,how_to,10.9
T00570,A0159,2024-03-06,P1,how_to,
T00571,A0159,2024-04-03,P1,how_to,27.2
T00572,A0160,2024-03-16,P2,access,21.3
T00573,A0160,2024-05-30,P2,access,
T00574,A0160,2024-06-23,P2,outage,10.2
T00575,A0160,2024-06-09,P2,billing,39.9
T00576,A0160,2024-01-04,P1,how_to,24.0
T00577,A0160,2024-01-10,P3,how_to,8.9
T00578,A0161,2024-06-14,P2,access,49.7
T00579,A0161,2024-05-25,P2,bug,15.4
T00580,A0161,2024-02-16,P1,bug,59.5
T00581,A0161,2024-05-13,P1,how_to,26.2
T00582,A0161,2024-03-11,P1,access,71.8
T00583,A0162,2024-05-20,P3,access,53.0
T00584,A0163,2024-04-07,P1,billing,53.1
T00585,A0165,2024-01-16,P3,how_to,6.8
T00586,A0166,2024-01-03,P2,access,71.3
T00587,A0166,2024-03-21,P1,access,17.6
T00588,A0166,2024-01-30,P2,access,16.8
T00589,A0166,2024-03-18,P2,outage,12.4
T00590,A0166,2024-02-26,P3,access,36.5
T00591,A0166,2024-03-17,P2,bug,39.6
T00592,A0166,2024-01-25,P2,billing,40.5
T00593,A0167,2024-01-11,P3,outage,69.9
T00594,A0167,2024-01-29,P2,how_to,19.5
T00595,A0167,2024-06-25,P2,bug,50.1
T00596,A0168,2024-02-07,P3,bug,1.3
T00597,A0168,2024-01-28,P1,access,68.5
T00598,A0168,2024-03-24,P2,outage,35.4
T00599,A0168,2024-06-18,P1,outage,21.3
T00600,A0169,2024-02-14,P1,how_to,64.0
T00601,A0169,2024-01-22,P1,bug,23.6
T00602,A0169,2024-04-08,P2,bug,39.2
T00603,A0169,2024-01-28,P3,access,52.1
T00604,A0169,2024-03-25,P1,how_to,
T00605,A0169,2024-05-23,P3,how_to,52.3
T00606,A0169,2024-01-27,P1,access,40.6
T00607,A0169,2024-06-09,P2,bug,5.5
T00608,A0170,2024-05-07,P3,outage,52.4
T00609,A0170,2024-03-12,P2,billing,
T00610,A0170,2024-04-12,P2,outage,
T00611,A0170,2024-06-18,P3,outage,9.0
T00612,A0170,2024-05-20,P1,bug,37.3
T00613,A0171,2024-03-22,P2,outage,47.8
T00614,A0171,2024-04-01,P1,access,69.2
T00615,A0172,2024-03-22,P2,how_to,
T00616,A0172,2024-01-21,P2,how_to,21.6
T00617,A0172,2024-04-23,P3,billing,28.0
T00618,A0172,2024-06-04,P2,billing,36.2
T00619,A0172,2024-06-04,P3,how_to,11.6
T00620,A0173,2024-04-24,P2,outage,61.8
T00621,A0173,2024-06-23,P2,how_to,48.1
T00622,A0173,2024-05-05,P1,access,18.4
T00623,A0174,2024-01-27,P3,outage,44.8
T00624,A0174,2024-01-05,P3,bug,
T00625,A0174,2024-01-02,P1,how_to,55.5
T00626,A0174,2024-06-22,P1,bug,9.5
T00627,A0174,2024-06-04,P1,how_to,42.6
T00628,A0174,2024-02-14,P1,billing,11.9
T00629,A0177,2024-02-07,P1,outage,35.1
T00630,A0177,2024-01-29,P1,how_to,67.6
T00631,A0177,2024-01-04,P3,bug,22.5
T00632,A0177,2024-03-18,P2,how_to,19.3
T00633,A0177,2024-06-24,P2,outage,68.2
T00634,A0177,2024-01-13,P2,outage,71.0
T00635,A0177,2024-02-24,P3,bug,33.7
T00636,A0178,2024-02-23,P3,outage,55.4
T00637,A0178,2024-03-30,P3,outage,26.7
T00638,A0178,2024-02-06,P1,access,51.9
T00639,A0178,2024-06-06,P2,access,22.6
T00640,A0179,2024-01-04,P3,access,6.4
T00641,A0179,2024-06-17,P3,outage,68.4
T00642,A0179,2024-03-20,P3,bug,6.1
T00643,A0180,2024-04-17,P2,how_to,51.8
T00644,A0180,2024-01-29,P1,billing,11.5
T00645,A0181,2024-04-02,P2,bug,52.2
T00646,A0182,2024-01-25,P3,how_to,54.0
T00647,A0182,2024-01-15,P3,how_to,60.1
T00648,A0182,2024-04-05,P2,how_to,27.5
T00649,A0183,2024-02-16,P2,access,
T00650,A0183,2024-05-14,P3,billing,56.0
T00651,A0184,2024-03-05,P3,bug,64.0
T00652,A0184,2024-03-29,P2,access,42.1
T00653,A0184,2024-01-08,P3,bug,33.2
T00654,A0185,2024-05-16,P3,access,45.6
T00655,A0185,2024-03-10,P2,how_to,50.0
T00656,A0185,2024-03-01,P1,outage,6.1
T00657,A0185,2024-05-23,P1,outage,54.5
T00658,A0185,2024-06-06,P2,outage,
T00659,A0185,2024-05-07,P3,bug,3.0
T00660,A0185,2024-01-22,P2,billing,56.0
T00661,A0186,2024-05-12,P3,access,23.6
T00662,A0186,2024-01-18,P3,billing,41.6
T00663,A0186,2024-06-01,P3,bug,20.5
T00664,A0187,2024-06-03,P2,how_to,57.4
T00665,A0187,2024-03-27,P1,outage,29.8
T00666,A0187,2024-05-31,P3,billing,65.0
T00667,A0188,2024-05-10,P2,bug,19.5
T00668,A0188,2024-05-01,P3,access,12.0
T00669,A0189,2024-06-18,P3,access,19.8
T00670,A0189,2024-02-21,P2,outage,63.1
T00671,A0189,2024-01-29,P3,access,48.8
T00672,A0189,2024-01-08,P3,access,42.3
T00673,A0189,2024-01-31,P2,access,30.2
T00674,A0191,2024-06-06,P1,billing,57.4
T00675,A0191,2024-04-24,P1,how_to,46.9
T00676,A0191,2024-06-19,P2,access,57.0
T00677,A0191,2024-05-21,P2,access,1.1
T00678,A0191,2024-04-08,P3,how_to,48.2
T00679,A0192,2024-06-05,P1,billing,
T00680,A0192,2024-01-10,P3,billing,56.7
T00681,A0193,2024-05-04,P2,outage,43.2
T00682,A0194,2024-02-28,P1,access,48.0
T00683,A0194,2024-04-05,P1,outage,55.4
T00684,A0194,2024-06-27,P2,how_to,45.6
T00685,A0194,2024-06-02,P2,bug,13.5
T00686,A0194,2024-02-02,P2,access,6.5
T00687,A0194,2024-04-17,P1,billing,13.3
T00688,A0194,2024-06-16,P1,bug,6.0
T00689,A0195,2024-02-03,P3,how_to,25.5
T00690,A0195,2024-01-14,P1,outage,64.3
T00691,A0195,2024-05-23,P3,how_to,37.3
T00692,A0195,2024-01-12,P3,how_to,19.8
T00693,A0196,2024-06-20,P1,bug,66.4
T00694,A0196,2024-01-15,P3,outage,46.9
T00695,A0196,2024-02-13,P1,access,18.3
T00696,A0196,2024-03-19,P2,bug,68.0
T00697,A0196,2024-01-21,P2,how_to,42.7
T00698,A0196,2024-06-20,P1,bug,3.9
T00699,A0196,2024-04-09,P1,bug,20.9
T00700,A0196,2024-02-11,P1,how_to,11.9
T00701,A0196,2024-01-05,P1,outage,28.9
T00702,A0198,2024-01-15,P2,how_to,8.0
T00703,A0198,2024-03-06,P1,access,46.6
T00704,A0198,2024-05-13,P3,billing,12.0
T00705,A0198,2024-01-17,P2,access,70.4
T00706,A0199,2024-05-06,P3,billing,22.2
T00707,A0199,2024-04-21,P3,bug,6.0
T00708,A0200,2024-01-31,P3,billing,48.2
T00709,A0200,2024-04-14,P3,how_to,63.5
T00710,A0201,2024-01-01,P3,bug,55.3
T00711,A0201,2024-02-26,P2,how_to,51.6
T00712,A0201,2024-03-25,P2,access,64.0
T00713,A0202,2024-04-16,P2,billing,29.7
T00714,A0202,2024-01-29,P2,billing,46.5
T00715,A0203,2024-01-16,P2,how_to,42.8
T00716,A0204,2024-06-15,P3,billing,38.8
T00717,A0205,2024-03-05,P2,bug,70.3
T00718,A0205,2024-03-19,P1,outage,11.3
T00719,A0205,2024-03-07,P3,outage,55.0
T00720,A0205,2024-06-09,P2,how_to,11.3
T00721,A0205,2024-05-29,P2,billing,19.2
T00722,A0206,2024-04-14,P2,how_to,15.8
T00723,A0206,2024-06-13,P1,billing,61.6
T00724,A0206,2024-01-29,P3,access,45.7
T00725,A0207,2024-05-29,P1,outage,29.7
T00726,A0207,2024-04-23,P1,access,
T00727,A0207,2024-01-27,P2,outage,49.6
T00728,A0207,2024-03-31,P2,how_to,57.1
T00729,A0207,2024-04-17,P1,billing,20.3
T00730,A0207,2024-05-01,P3,billing,35.7
T00731,A0208,2024-01-11,P1,billing,52.8
T00732,A0208,2024-04-30,P1,billing,68.0
T00733,A0208,2024-06-01,P2,outage,13.0
T00734,A0208,2024-02-15,P2,outage,61.7
T00735,A0208,2024-06-18,P2,outage,20.9
T00736,A0208,2024-06-24,P2,bug,66.3
T00737,A0209,2024-02-21,P3,outage,1.4
T00738,A0209,2024-05-27,P1,outage,71.3
T00739,A0209,2024-04-01,P2,bug,
T00740,A0209,2024-03-24,P2,how_to,68.7
T00741,A0209,2024-01-05,P1,how_to,45.4
T00742,A0209,2024-04-07,P2,outage,26.1
T00743,A0210,2024-01-26,P3,how_to,67.3
T00744,A0210,2024-05-10,P2,billing,45.4
T00745,A0210,2024-02-17,P2,how_to,53.5
T00746,A0210,2024-06-10,P2,access,27.7
T00747,A0210,2024-05-06,P3,how_to,26.1
T00748,A0210,2024-04-09,P2,bug,47.6
T00749,A0211,2024-03-31,P3,outage,71.5
T00750,A0211,2024-06-19,P3,billing,36.4
T00751,A0212,2024-02-13,P2,how_to,50.8
T00752,A0213,2024-01-16,P3,bug,67.5
T00753,A0213,2024-03-25,P3,access,32.9
T00754,A0214,2024-05-03,P2,billing,34.6
T00755,A0214,2024-01-24,P3,billing,22.7
T00756,A0215,2024-05-02,P2,bug,26.6
T00757,A0216,2024-05-04,P3,billing,60.5
T00758,A0216,2024-06-24,P3,billing,68.2
T00759,A0216,2024-03-16,P1,bug,69.8
T00760,A0217,2024-05-20,P3,billing,27.6
T00761,A0217,2024-02-18,P3,how_to,64.9
T00762,A0217,2024-06-23,P1,how_to,36.1
T00763,A0217,2024-02-15,P1,access,44.0
T00764,A0217,2024-06-26,P3,how_to,66.7
T00765,A0218,2024-03-22,P2,bug,56.0
T00766,A0218,2024-03-07,P3,bug,40.6
T00767,A0218,2024-06-01,P3,bug,
T00768,A0219,2024-06-19,P3,how_to,52.1
T00769,A0219,2024-05-12,P2,access,32.2
T00770,A0220,2024-02-08,P3,access,58.7
T00771,A0220,2024-02-02,P1,bug,29.0
T00772,A0220,2024-04-05,P1,how_to,12.6
T00773,A0220,2024-06-17,P1,billing,58.4
T00774,A0220,2024-04-17,P2,bug,
T00775,A0221,2024-06-03,P2,billing,55.0
T00776,A0221,2024-05-20,P3,outage,26.3
T00777,A0222,2024-03-22,P3,how_to,66.1
T00778,A0222,2024-05-11,P3,billing,10.1
T00779,A0222,2024-05-02,P2,access,55.4
T00780,A0222,2024-03-08,P3,access,17.8
T00781,A0223,2024-03-27,P2,billing,23.0
T00782,A0223,2024-04-01,P2,how_to,
T00783,A0223,2024-05-18,P1,access,10.3
T00784,A0223,2024-06-01,P1,billing,23.2
T00785,A0224,2024-06-14,P1,outage,47.0
T00786,A0224,2024-02-23,P3,how_to,27.3
T00787,A0224,2024-06-08,P2,access,44.7
T00788,A0224,2024-03-26,P1,how_to,
T00789,A0224,2024-03-03,P1,access,68.7
T00790,A0224,2024-04-14,P1,outage,31.5
T00791,A0224,2024-01-01,P3,access,70.0
T00792,A0225,2024-05-04,P2,billing,7.9
T00793,A0225,2024-05-29,P1,how_to,24.0
T00794,A0225,2024-06-21,P1,outage,23.3
T00795,A0225,2024-06-07,P2,how_to,26.8
T00796,A0225,2024-05-13,P1,billing,68.7
T00797,A0226,2024-01-14,P1,bug,56.2
T00798,A0226,2024-02-02,P1,access,15.9
T00799,A0226,2024-06-12,P1,access,29.7
T00800,A0227,2024-03-18,P3,billing,36.6
T00801,A0227,2024-03-18,P2,access,58.7
T00802,A0227,2024-01-03,P3,outage,27.5
T00803,A0228,2024-06-07,P3,billing,29.4
T00804,A0228,2024-03-12,P1,outage,9.8
T00805,A0228,2024-02-19,P2,how_to,37.1
T00806,A0228,2024-03-10,P1,access,20.7
T00807,A0229,2024-02-11,P1,bug,22.7
T00808,A0229,2024-01-05,P3,bug,30.0
T00809,A0229,2024-03-27,P1,how_to,7.8
T00810,A0229,2024-05-21,P3,outage,57.2
T00811,A0229,2024-03-20,P1,bug,49.8
T00812,A0230,2024-03-07,P1,billing,13.6
T00813,A0230,2024-04-23,P3,billing,5.2
T00814,A0230,2024-05-15,P2,billing,12.5
T00815,A0230,2024-03-11,P1,how_to,14.3
T00816,A0230,2024-02-14,P1,outage,66.6
T00817,A0230,2024-06-14,P1,outage,64.0
T00818,A0231,2024-06-04,P1,outage,68.3
T00819,A0232,2024-03-23,P3,billing,36.4
T00820,A0232,2024-03-22,P2,how_to,8.2
T00821,A0232,2024-01-01,P2,bug,59.7
T00822,A0233,2024-01-27,P1,access,14.0
T00823,A0233,2024-06-17,P3,billing,56.4
T00824,A0234,2024-03-14,P2,bug,24.8
T00825,A0234,2024-02-07,P2,bug,
T00826,A0234,2024-03-31,P3,bug,42.4
T00827,A0234,2024-06-11,P2,bug,
T00828,A0234,2024-05-29,P2,access,15.3
T00829,A0234,2024-02-24,P2,how_to,53.3
T00830,A0234,2024-01-19,P1,bug,47.0
T00831,A0234,2024-05-18,P1,outage,
T00832,A0235,2024-06-07,P3,access,12.2
T00833,A0235,2024-03-19,P3,billing,41.9
T00834,A0235,2024-03-29,P3,access,12.4
T00835,A0236,2024-02-10,P3,how_to,57.2
T00836,A0236,2024-03-27,P2,how_to,1.3
T00837,A0236,2024-03-24,P2,how_to,66.4
T00838,A0237,2024-02-09,P1,bug,11.6
T00839,A0237,2024-01-26,P1,how_to,14.8
T00840,A0237,2024-04-14,P2,bug,46.8
T00841,A0237,2024-01-22,P1,access,30.1
T00842,A0237,2024-06-06,P1,bug,12.3
T00843,A0237,2024-04-08,P3,access,46.7
T00844,A0237,2024-05-17,P3,how_to,51.1
T00845,A0238,2024-02-08,P3,outage,29.9
T00846,A0238,2024-01-09,P3,access,52.0
T00847,A0238,2024-03-16,P3,outage,23.2
T00848,A0239,2024-04-16,P3,how_to,67.1
T00849,A0239,2024-06-27,P2,access,36.4
T00850,A0239,2024-06-03,P3,outage,
T00851,A0239,2024-01-05,P1,bug,15.7
T00852,A0239,2024-05-10,P2,bug,47.6
T00853,A0239,2024-05-27,P3,access,42.9
T00854,A0241,2024-05-22,P3,outage,69.2
T00855,A0241,2024-05-24,P3,outage,
T00856,A0241,2024-01-02,P3,bug,62.8
T00857,A0241,2024-04-20,P1,billing,25.7
T00858,A0242,2024-01-20,P1,access,55.4
T00859,A0242,2024-04-09,P2,how_to,8.8
T00860,A0242,2024-01-23,P2,billing,39.3
T00861,A0242,2024-05-28,P2,how_to,
T00862,A0244,2024-02-21,P3,how_to,
T00863,A0244,2024-04-27,P1,how_to,45.7
T00864,A0244,2024-01-19,P1,outage,62.0
T00865,A0244,2024-02-03,P2,outage,51.4
T00866,A0245,2024-06-21,P3,billing,33.0
T00867,A0245,2024-05-03,P3,billing,14.1
T00868,A0246,2024-03-15,P2,bug,32.5
T00869,A0246,2024-01-30,P2,bug,38.5
T00870,A0246,2024-01-14,P3,bug,52.0
T00871,A0246,2024-01-30,P2,bug,43.5
T00872,A0246,2024-05-11,P1,access,44.2
T00873,A0246,2024-06-22,P3,outage,58.4
T00874,A0247,2024-04-19,P3,access,21.2
T00875,A0247,2024-01-23,P1,bug,
T00876,A0247,2024-04-28,P2,billing,62.2
T00877,A0247,2024-04-23,P3,bug,61.3
T00878,A0247,2024-01-14,P3,outage,8.3
T00879,A0248,2024-01-01,P3,outage,54.7
T00880,A0248,2024-01-21,P2,how_to,66.4
T00881,A0248,2024-05-23,P2,access,60.3
T00882,A0248,2024-06-25,P2,bug,44.0
T00883,A0248,2024-06-19,P3,bug,17.5
T00884,A0248,2024-01-01,P2,outage,14.9
T00885,A0248,2024-04-17,P3,outage,39.1
T00886,A0248,2024-06-27,P3,billing,60.7
T00887,A0249,2024-04-07,P2,how_to,
T00888,A0249,2024-03-30,P1,outage,31.6
T00889,A0249,2024-03-22,P2,outage,5.9
T00890,A0250,2024-04-02,P3,access,43.1
T00891,A0251,2024-03-13,P3,outage,35.5
T00892,A0251,2024-05-07,P3,bug,36.1
T00893,A0252,2024-05-11,P2,how_to,63.5
T00894,A0252,2024-06-26,P2,bug,1.0
T00895,A0252,2024-02-09,P3,billing,2.2
T00896,A0252,2024-02-14,P1,billing,60.3
T00897,A0253,2024-03-04,P2,bug,4.7
T00898,A0253,2024-04-10,P2,outage,51.7
T00899,A0254,2024-02-13,P2,access,20.6
T00900,A0254,2024-01-12,P2,bug,22.6
T00901,A0254,2024-03-10,P1,bug,55.2
T00902,A0254,2024-06-24,P3,billing,61.7
T00903,A0254,2024-04-13,P3,bug,66.4
T00904,A0255,2024-01-31,P2,outage,24.1
T00905,A0255,2024-01-13,P2,bug,49.3
T00906,A0255,2024-05-11,P1,outage,50.3
T00907,A0255,2024-04-13,P1,access,55.2
T00908,A0255,2024-05-10,P1,billing,54.4
T00909,A0255,2024-04-01,P1,bug,70.3
T00910,A0255,2024-03-28,P2,how_to,
T00911,A0255,2024-06-20,P2,how_to,
T00912,A0256,2024-04-10,P3,billing,14.8
T00913,A0256,2024-03-08,P2,how_to,9.4
T00914,A0256,2024-01-07,P3,how_to,20.4
T00915,A0257,2024-02-04,P3,bug,57.2
T00916,A0257,2024-02-27,P2,access,3.8
T00917,A0257,2024-06-04,P1,how_to,14.0
T00918,A0257,2024-04-29,P2,bug,52.3
T00919,A0257,2024-03-15,P2,outage,
T00920,A0257,2024-01-02,P2,billing,40.7
T00921,A0257,2024-05-15,P2,how_to,21.2
T00922,A0258,2024-02-16,P2,bug,16.0
T00923,A0258,2024-03-23,P2,outage,28.6
T00924,A0258,2024-01-04,P2,bug,28.9
T00925,A0258,2024-03-27,P3,outage,
T00926,A0258,2024-02-29,P1,access,45.3
T00927,A0258,2024-03-02,P2,bug,30.2
T00928,A0260,2024-05-13,P2,billing,28.1
T00929,A0260,2024-02-23,P3,outage,47.8
T00930,A0260,2024-04-20,P2,how_to,16.7
T00931,A0260,2024-04-27,P3,bug,71.1
T00932,A0260,2024-04-24,P2,billing,50.0
T00933,A0261,2024-05-23,P3,bug,69.4
T00934,A0262,2024-02-26,P1,bug,48.9
T00935,A0263,2024-05-30,P3,access,52.7
T00936,A0263,2024-01-18,P2,bug,
T00937,A0263,2024-03-20,P1,outage,21.8
T00938,A0263,2024-04-19,P1,billing,18.1
T00939,A0263,2024-01-04,P2,bug,14.3
T00940,A0263,2024-04-08,P1,outage,57.9
T00941,A0263,2024-02-23,P3,bug,54.7
T00942,A0263,2024-03-01,P1,bug,20.5
T00943,A0263,2024-03-19,P2,access,57.1
T00944,A0264,2024-04-03,P1,outage,38.1
T00945,A0264,2024-03-15,P1,access,5.7
T00946,A0264,2024-01-11,P3,how_to,58.5
T00947,A0264,2024-03-23,P2,bug,7.6
T00948,A0265,2024-05-04,P2,billing,50.8
T00949,A0265,2024-05-26,P2,bug,69.0
T00950,A0266,2024-05-23,P1,billing,52.1
T00951,A0266,2024-01-30,P3,how_to,35.1
T00952,A0267,2024-02-08,P2,outage,
T00953,A0269,2024-04-08,P3,how_to,17.1
T00954,A0269,2024-03-01,P1,access,16.9
T00955,A0269,2024-04-08,P2,outage,48.8
T00956,A0269,2024-06-21,P3,billing,29.3
T00957,A0269,2024-01-28,P3,billing,
T00958,A0270,2024-05-30,P2,billing,13.8
T00959,A0270,2024-04-09,P3,bug,27.6
T00960,A0270,2024-04-21,P2,billing,
T00961,A0270,2024-03-28,P2,billing,57.5
T00962,A0271,2024-06-01,P1,outage,60.5
T00963,A0272,2024-01-15,P3,bug,62.7
T00964,A0272,2024-04-28,P3,outage,17.5
T00965,A0272,2024-05-20,P2,access,22.6
T00966,A0272,2024-03-09,P1,billing,38.8
T00967,A0272,2024-01-23,P2,outage,70.2
T00968,A0272,2024-03-26,P2,access,7.2
T00969,A0273,2024-01-13,P1,bug,6.8
T00970,A0273,2024-01-18,P1,billing,56.4
T00971,A0273,2024-05-20,P3,access,27.5
T00972,A0273,2024-06-25,P2,bug,4.5
T00973,A0273,2024-05-31,P1,billing,66.8
T00974,A0273,2024-05-03,P2,bug,53.2
T00975,A0273,2024-02-17,P2,outage,24.2
T00976,A0273,2024-02-22,P2,outage,20.3
T00977,A0274,2024-04-14,P2,access,69.9
T00978,A0274,2024-01-15,P3,outage,21.9
T00979,A0274,2024-04-30,P3,how_to,32.9
T00980,A0274,2024-05-04,P3,access,17.9
T00981,A0274,2024-01-15,P2,access,32.2
T00982,A0275,2024-05-24,P1,billing,53.6
T00983,A0276,2024-05-09,P2,bug,25.0
T00984,A0276,2024-03-06,P1,bug,43.4
T00985,A0276,2024-02-16,P3,outage,56.9
T00986,A0277,2024-06-28,P1,bug,45.8
T00987,A0277,2024-06-24,P1,bug,18.9
T00988,A0277,2024-04-04,P1,bug,20.9
T00989,A0277,2024-03-21,P1,outage,31.3
T00990,A0277,2024-01-19,P3,how_to,68.7
T00991,A0277,2024-02-01,P2,billing,56.5
T00992,A0278,2024-03-21,P2,outage,34.6
T00993,A0279,2024-02-22,P1,billing,28.1
T00994,A0279,2024-02-14,P3,billing,10.9
T00995,A0279,2024-05-08,P1,access,28.0
T00996,A0279,2024-02-09,P1,billing,25.7
T00997,A0279,2024-02-07,P1,bug,47.5
T00998,A0280,2024-06-16,P2,how_to,30.5
T00999,A0281,2024-02-25,P3,access,62.4
T01000,A0281,2024-06-22,P3,outage,43.0
T01001,A0281,2024-05-08,P3,outage,59.8
T01002,A0282,2024-04-04,P1,how_to,
T01003,A0282,2024-04-28,P1,billing,28.2
T01004,A0282,2024-06-11,P3,outage,60.0
T01005,A0282,2024-03-17,P3,outage,28.3
T01006,A0282,2024-04-07,P3,how_to,17.5
T01007,A0282,2024-03-18,P3,outage,70.1
T01008,A0282,2024-05-23,P3,access,19.2
T01009,A0283,2024-06-03,P1,access,51.7
T01010,A0283,2024-05-26,P1,access,56.4
T01011,A0283,2024-04-18,P1,billing,57.9
T01012,A0283,2024-04-11,P1,outage,8.3
T01013,A0283,2024-01-01,P3,how_to,35.5
T01014,A0283,2024-05-18,P1,bug,
T01015,A0283,2024-02-15,P2,billing,55.1
T01016,A0284,2024-01-11,P2,bug,27.6
T01017,A0284,2024-01-13,P1,access,53.2
T01018,A0284,2024-06-04,P2,outage,48.0
T01019,A0284,2024-02-06,P3,billing,22.8
T01020,A0284,2024-04-22,P2,bug,32.4
T01021,A0285,2024-05-28,P2,billing,1.7
T01022,A0285,2024-06-05,P3,bug,60.9
T01023,A0285,2024-05-31,P3,bug,27.3
T01024,A0287,2024-04-20,P3,how_to,35.6
T01025,A0287,2024-04-11,P3,access,32.2
T01026,A0288,2024-01-29,P1,billing,50.1
T01027,A0288,2024-01-04,P1,how_to,45.3
T01028,A0288,2024-03-20,P2,bug,63.5
T01029,A0288,2024-05-06,P2,access,68.1
T01030,A0288,2024-02-27,P1,access,5.4
T01031,A0289,2024-05-30,P1,access,63.9
T01032,A0289,2024-05-01,P1,access,49.7
T01033,A0289,2024-06-04,P3,outage,36.6
T01034,A0289,2024-06-06,P1,bug,
T01035,A0289,2024-03-03,P3,billing,38.6
T01036,A0289,2024-03-02,P1,billing,60.0
T01037,A0290,2024-01-27,P3,outage,4.3
T01038,A0291,2024-05-13,P3,how_to,35.7
T01039,A0291,2024-02-24,P3,outage,
T01040,A0291,2024-05-14,P1,outage,48.6
T01041,A0291,2024-02-23,P3,bug,43.5
T01042,A0292,2024-05-25,P3,how_to,42.2
T01043,A0292,2024-03-02,P2,access,39.0
T01044,A0292,2024-01-09,P3,how_to,44.2
T01045,A0292,2024-02-13,P2,bug,65.7
T01046,A0292,2024-02-25,P3,access,24.1
T01047,A0293,2024-02-27,P3,access,67.3
T01048,A0293,2024-01-31,P3,how_to,64.8
T01049,A0294,2024-02-15,P2,how_to,61.4
T01050,A0294,2024-04-29,P1,how_to,56.3
T01051,A0294,2024-04-28,P2,how_to,65.3
T01052,A0294,2024-03-29,P1,how_to,70.5
T01053,A0294,2024-04-16,P1,billing,37.8
T01054,A0295,2024-01-12,P3,how_to,
T01055,A0295,2024-06-16,P2,billing,60.2
T01056,A0295,2024-06-28,P2,access,69.4
T01057,A0295,2024-05-08,P3,how_to,32.6
T01058,A0296,2024-05-22,P3,billing,49.3
T01059,A0296,2024-03-16,P1,how_to,9.4
T01060,A0297,2024-01-11,P3,how_to,18.9
T01061,A0297,2024-02-16,P3,billing,32.4
T01062,A0297,2024-03-04,P1,how_to,69.5
T01063,A0297,2024-06-13,P2,how_to,17.1
T01064,A0298,2024-03-08,P3,how_to,41.0
T01065,A0298,2024-04-26,P3,billing,11.0
T01066,A0298,2024-04-28,P3,how_to,28.1
T01067,A0298,2024-06-05,P3,how_to,52.0
T01068,A0298,2024-04-18,P3,bug,36.3
T01069,A0299,2024-03-20,P1,bug,26.6
T01070,A0299,2024-03-26,P3,access,53.1
T01071,A0300,2024-06-27,P3,access,
T01072,A0302,2024-02-12,P3,how_to,34.4
T01073,A0302,2024-02-07,P3,access,20.9
T01074,A0302,2024-06-05,P3,outage,25.5
T01075,A0302,2024-05-31,P3,access,24.5
T01076,A0303,2024-01-23,P1,how_to,2.1
T01077,A0303,2024-03-18,P1,access,27.1
T01078,A0303,2024-05-11,P1,billing,7.6
T01079,A0303,2024-04-28,P2,bug,48.5
T01080,A0303,2024-05-24,P2,access,24.8
T01081,A0303,2024-02-08,P2,bug,42.3
T01082,A0304,2024-04-23,P1,bug,39.6
T01083,A0304,2024-04-24,P1,billing,25.6
T01084,A9999,2024-03-20,P3,billing,17.7
T01085,A0306,2024-02-28,P1,outage,46.2
T01086,A0306,2024-01-10,P2,billing,31.6
T01087,A0306,2024-03-27,P3,billing,34.9
T01088,A0306,2024-06-21,P1,how_to,68.5
T01089,A0306,2024-06-23,P3,how_to,38.8
T01090,A0307,2024-03-27,P3,bug,56.2
T01091,A0307,2024-02-07,P1,bug,32.0
T01092,A0307,2024-05-26,P1,outage,70.1
T01093,A0307,2024-01-23,P2,access,68.8
T01094,A0307,2024-03-20,P1,outage,46.4
T01095,A0308,2024-02-18,P1,outage,9.8
T01096,A0308,2024-06-04,P1,billing,
T01097,A0308,2024-03-15,P2,bug,61.7
T01098,A0308,2024-02-17,P1,outage,29.5
T01099,A0308,2024-01-05,P2,bug,31.0
T01100,A0308,2024-03-05,P2,outage,53.2
T01101,A0308,2024-02-12,P3,bug,19.3
T01102,A0310,2024-02-04,P3,outage,19.7
T01103,A0310,2024-02-19,P2,billing,39.8
T01104,A0310,2024-05-18,P3,billing,45.1
T01105,A0310,2024-03-19,P2,bug,22.5
T01106,A0310,2024-01-22,P2,billing,45.3
T01107,A0310,2024-06-21,P1,access,22.1
T01108,A0310,2024-01-21,P1,billing,53.2
T01109,A0311,2024-03-10,P1,outage,
T01110,A0311,2024-04-30,P3,outage,30.6
T01111,A0311,2024-06-01,P1,outage,56.0
T01112,A0311,2024-02-09,P1,billing,54.2
T01113,A0311,2024-05-23,P3,access,19.2
T01114,A0311,2024-01-27,P3,outage,70.4
T01115,A0313,2024-03-01,P3,access,16.9
T01116,A0314,2024-03-08,P3,how_to,64.5
T01117,A0315,2024-02-12,P3,how_to,65.9
T01118,A0316,2024-06-13,P2,outage,53.0
T01119,A0316,2024-04-30,P1,billing,67.5
T01120,A0316,2024-06-10,P2,access,25.0
T01121,A0318,2024-04-10,P2,access,63.8
T01122,A0318,2024-05-23,P3,bug,41.9
T01123,A0319,2024-06-12,P1,billing,30.4
T01124,A0319,2024-03-16,P3,billing,25.7
T01125,A0319,2024-04-19,P2,bug,51.1
T01126,A0319,2024-01-16,P2,billing,1.8
T01127,A0319,2024-05-09,P1,how_to,21.3
T01128,A0319,2024-05-02,P1,outage,19.5
